/home/lyra/models/qwen38-flash/.venv/bin/python3 /home/lyra/models/qwen38-flash/bench/memguard.py --min-avail-gib 8 --csv /home/lyra/models/qwen38-flash/bench/results/mtp2/engramhalo-Q4_K_XL-none-n4-p0.0-t1.0.csv -- /home/lyra/models/qwen38-flash/engine/build-engramhalo/bin/llama serve -m /home/lyra/.cache/huggingface/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/c8b5954a88c2775c546b92593eda40ea041d3176/UD-Q4_K_XL/Qwen3.8-Flash-Next-UD-Q4_K_XL-00001-of-00004.gguf -ngl 999 -c 32768 -fa on -ctk q8_0 -ctv q8_0 --jinja --chat-template-kwargs {"reasoning_effort":"medium"} --host 127.0.0.1 --port 8097 --no-webui -np 1 --top-p 0.95 --top-k 20 --min-p 0 -lv 3 -b 8192 -ub 2048 -t 4 -lm none --temp 1.0 -md /home/lyra/.cache/huggingface/hub/models--dzannotti--Qwen3.8-Flash-Next-MTP-GGUF/snapshots/0b2551d191548168d3254ddea4ab943a5ef4f809/Qwen3.8-Flash-Next-MTP-Q4_K_M.gguf -ngld 99 --spec-type draft-mtp --spec-draft-n-max 4 --spec-draft-p-min 0.0
0.00.029.153 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.029.260 I srv          init: The UI is disabled
0.00.029.261 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.029.325 W srv  llama_server: -----------------
0.00.029.327 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.029.327 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.029.327 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.029.327 W srv  llama_server: -----------------
0.00.030.563 I srv    load_model: loading model '/home/lyra/.cache/huggingface/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/c8b5954a88c2775c546b92593eda40ea041d3176/UD-Q4_K_XL/Qwen3.8-Flash-Next-UD-Q4_K_XL-00001-of-00004.gguf'
0.20.920.131 I cmn          init: llama threadpool init, n_threads = 4
0.21.022.797 I common_speculative_init_result: loading draft model '/home/lyra/.cache/huggingface/hub/models--dzannotti--Qwen3.8-Flash-Next-MTP-GGUF/snapshots/0b2551d191548168d3254ddea4ab943a5ef4f809/Qwen3.8-Flash-Next-MTP-Q4_K_M.gguf'
0.21.220.077 W model has unused tensor blk.48.indexer.q_proj.weight (size = 2621440 bytes) -- ignoring
0.21.220.080 W model has unused tensor blk.48.indexer.k_proj.weight (size = 655360 bytes) -- ignoring
0.21.220.082 W model has unused tensor blk.48.indexer.q_norm.weight (size = 512 bytes) -- ignoring
0.21.220.083 W model has unused tensor blk.48.indexer.k_norm.weight (size = 512 bytes) -- ignoring
0.22.317.022 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.22.418.037 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.22.418.086 I srv  llama_server: model loaded
0.22.418.092 I srv  llama_server: listening on http://127.0.0.1:8097
0.23.997.824 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.50.982.402 I slot print_timing: id  0 | task 148 | draft acceptance = 0.46154 (  258 accepted /   559 generated), mean len =  2.83
0.50.982.470 I slot      release: id  0 | task 148 | stop processing: n_tokens = 450, truncated = 0
0.50.987.879 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 271294797437
0.51.031.756 I slot launch_slot_: id  0 | task 292 | processing task, is_child = 0
0.54.611.568 I slot print_timing: id  0 | task 292 | n_gen =    126, tg =  40.78 t/s, tg_3s =  41.10 t/s
0.57.700.266 I slot print_timing: id  0 | task 292 | n_gen =    266, tg =  43.06 t/s, tg_3s =  45.33 t/s
1.00.511.852 I slot print_timing: id  0 | task 292 | prompt eval time =     514.22 ms /    71 tokens (    7.24 ms per token,   138.07 tokens per second)
1.00.511.858 I slot print_timing: id  0 | task 292 |        eval time =    8965.80 ms /   400 tokens (   22.47 ms per token,    44.50 tokens per second)
1.00.511.858 I slot print_timing: id  0 | task 292 |       total time =    9480.01 ms /   471 tokens
1.00.511.861 I slot print_timing: id  0 | task 292 |    graphs reused =        371
1.00.511.865 I slot print_timing: id  0 | task 292 | draft acceptance = 0.75949 (  300 accepted /   395 generated), mean len =  4.03
1.00.511.933 I slot      release: id  0 | task 292 | stop processing: n_tokens = 470, truncated = 0
[memguard] fertig nach 61s: MemAvailable Start 107.1 GiB, Minimum 21.7 GiB (Verbrauch 85.4 GiB), Peak GTT 81.7 GiB, Peak RSS 3.4 GiB, exit -9
