/home/lyra/models/qwen38-flash/.venv/bin/python3 /home/lyra/models/qwen38-flash/bench/memguard.py --min-avail-gib 8 --csv /home/lyra/models/qwen38-flash/bench/results/mtp2/engramhalo-Q4_K_XL-none-n3-p0.75-t1.0.csv -- /home/lyra/models/qwen38-flash/engine/build-engramhalo/bin/llama serve -m /home/lyra/.cache/huggingface/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/c8b5954a88c2775c546b92593eda40ea041d3176/UD-Q4_K_XL/Qwen3.8-Flash-Next-UD-Q4_K_XL-00001-of-00004.gguf -ngl 999 -c 32768 -fa on -ctk q8_0 -ctv q8_0 --jinja --chat-template-kwargs {"reasoning_effort":"medium"} --host 127.0.0.1 --port 8097 --no-webui -np 1 --top-p 0.95 --top-k 20 --min-p 0 -lv 3 -b 8192 -ub 2048 -t 4 -lm none --temp 1.0 -md /home/lyra/.cache/huggingface/hub/models--dzannotti--Qwen3.8-Flash-Next-MTP-GGUF/snapshots/0b2551d191548168d3254ddea4ab943a5ef4f809/Qwen3.8-Flash-Next-MTP-Q4_K_M.gguf -ngld 99 --spec-type draft-mtp --spec-draft-n-max 3 --spec-draft-p-min 0.75
0.00.024.583 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.024.683 I srv          init: The UI is disabled
0.00.024.684 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.024.748 W srv  llama_server: -----------------
0.00.024.749 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.024.749 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.024.749 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.024.749 W srv  llama_server: -----------------
0.00.025.980 I srv    load_model: loading model '/home/lyra/.cache/huggingface/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/c8b5954a88c2775c546b92593eda40ea041d3176/UD-Q4_K_XL/Qwen3.8-Flash-Next-UD-Q4_K_XL-00001-of-00004.gguf'
0.20.949.440 I cmn          init: llama threadpool init, n_threads = 4
0.21.050.982 I common_speculative_init_result: loading draft model '/home/lyra/.cache/huggingface/hub/models--dzannotti--Qwen3.8-Flash-Next-MTP-GGUF/snapshots/0b2551d191548168d3254ddea4ab943a5ef4f809/Qwen3.8-Flash-Next-MTP-Q4_K_M.gguf'
0.21.250.055 W model has unused tensor blk.48.indexer.q_proj.weight (size = 2621440 bytes) -- ignoring
0.21.250.060 W model has unused tensor blk.48.indexer.k_proj.weight (size = 655360 bytes) -- ignoring
0.21.250.061 W model has unused tensor blk.48.indexer.q_norm.weight (size = 512 bytes) -- ignoring
0.21.250.062 W model has unused tensor blk.48.indexer.k_norm.weight (size = 512 bytes) -- ignoring
0.22.189.872 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.22.295.076 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.22.295.121 I srv  llama_server: model loaded
0.22.295.126 I srv  llama_server: listening on http://127.0.0.1:8097
0.24.008.246 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.51.254.902 I slot      release: id  0 | task 177 | stop processing: n_tokens = 450, truncated = 0
0.51.263.003 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 271096111456
0.51.307.102 I slot launch_slot_: id  0 | task 367 | processing task, is_child = 0
0.54.849.332 I slot print_timing: id  0 | task 367 | n_gen =    115, tg =  37.68 t/s, tg_3s =  38.01 t/s
0.57.852.937 I slot print_timing: id  0 | task 367 | n_gen =    224, tg =  36.99 t/s, tg_3s =  36.29 t/s
1.00.926.747 I slot print_timing: id  0 | task 367 | n_gen =    358, tg =  39.22 t/s, tg_3s =  43.59 t/s
1.02.081.498 I slot print_timing: id  0 | task 367 | prompt eval time =     516.73 ms /    71 tokens (    7.28 ms per token,   137.40 tokens per second)
1.02.081.504 I slot print_timing: id  0 | task 367 |        eval time =   10257.57 ms /   400 tokens (   25.71 ms per token,    38.90 tokens per second)
1.02.081.505 I slot print_timing: id  0 | task 367 |       total time =   10774.30 ms /   471 tokens
1.02.081.507 I slot print_timing: id  0 | task 367 |    graphs reused =        186
1.02.081.510 I slot print_timing: id  0 | task 367 | draft acceptance = 0.89735 (  271 accepted /   302 generated), mean len =  3.42
1.02.081.573 I slot      release: id  0 | task 367 | stop processing: n_tokens = 470, truncated = 0
[memguard] fertig nach 62s: MemAvailable Start 107.1 GiB, Minimum 21.8 GiB (Verbrauch 85.3 GiB), Peak GTT 81.6 GiB, Peak RSS 3.3 GiB, exit -9
